FECHA_CORTE;UUID;FACULTAD;ESPECIALIDAD;MODALIDAD;NIVEL_ACADEMICO;ANNIO_POSTULACION;DERPARTAMENTO;PROVINCIA;DISTRITO;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;COLEGIO;SEXO;DISCAPACIDAD;ETNIA
20240626;280f14411493ac3acc87f1b00048970e;FACULTAD DE CIENCIAS;SEP - Informática Educativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;;M;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;eff7f4f3f697b0fd3ddda10b3c9b8149;FACULTAD DE AGROPECUARIA Y NUTRICIÓN;SEP - Industria Alimentaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;;M;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;bb50ab1e78a09555b1df70802a13ea76;FACULTAD DE AGROPECUARIA Y NUTRICIÓN;SEP - Industria Alimentaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;;F;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;111687505ddb4c8a1ee3fedfd53be75a;FACULTAD DE CIENCIAS;P.E.E. Matemática e Informática;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;DEUNI;F;NINGUNA;OTROS
20240626;0a279ed238bd0976cc81e33bcb6409ea;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Problemas de Aprendizaje;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;PUENTE PIEDRA                                               ;CALLAO         ;CALLAO                                  ;VENTANILLA                                                  ;;F;NINGUNA;QUECHUA
20240626;2eb4aa8542ca6526e127233a122a7c1b;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Física;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;JESUS MARIA                                                 ;LIMA           ;LIMA                                    ;ANCON                                                       ;;M;NINGUNA;MESTIZO
20240626;4cb625b089744a8804d31b7f31cf09c5;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;828a6a3fbd370614b2ac67ceb1569899;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;JUNIN          ;TARMA                                   ;TARMA                                                       ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;;F;NINGUNA;MESTIZO
20240626;1f916a18e48a844d4fcc671693371777;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;P.E.E.Educación Primaria -Educ.Básica Alternativa;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;PUEBLO LIBRE                                                ;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;Otra Institucion;M;NINGUNA;MESTIZO
20240626;e13228182f6f9a4125591ccff6ec69f7;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Negocios Internacionales;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;LA VICTORIA                                                 ;LIMA           ;LIMA                                    ;PUENTE PIEDRA                                               ;5178 VICTOR ANDRES BELAUNDE;F;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;e35e976e89638c24ed445faa5a7b1645;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;MESTIZO
20240626;096c89d590cefce17e273b8414a58c8b;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Física;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;;M;NINGUNA;MESTIZO
20240626;3d88147629a52f4500cfe74328150f64;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;SEP - Lengua Extranjera - Inglés;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;VILLA EL SALVADOR                                           ;;F;NINGUNA;MESTIZO
20240626;ad602b38e631b58c7b24deb25f8fa377;FACULTAD DE CIENCIAS;SEP - Informática Educativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;JESUS MARIA                                                 ;LAMBAYEQUE     ;CHICLAYO                                ;CHICLAYO                                                    ;;F;NINGUNA;MESTIZO
20240626;752909ad23c3cb5a521cdc2cf623a712;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;P.E.E.Educación Primaria -Educ.Básica Alternativa;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;1244 MICAELA BASTIDAS;F;NINGUNA;MESTIZO
